ticker,entry_date,exit_date,entry_price,exit_price,quantity,gross_pnl,net_pnl,cost,return_pct,exit_reason,holding_days,is_win
TMDX,2022-02-28,2022-03-17,18.479999542236328,22.18,118,436.6,432.86,3.74,20.02,take_profit_TP1_partial,17,True
STLD,2022-02-28,2022-03-21,67.49403740126556,80.99,48,647.81,642.74,5.07,20.0,take_profit_TP1_partial,21,True
DKNG,2022-03-31,2022-04-21,19.56999969482422,14.67,189,-926.1,-930.0,3.9,-25.04,hard_stop,21,False
TMDX,2022-03-31,2022-04-22,27.100000381469727,21.52,190,-1060.2,-1065.48,5.28,-20.59,hard_stop,22,False
AFRM,2022-05-31,2022-08-08,28.739999771118164,34.49,41,235.75,233.28,2.47,20.01,take_profit_TP1_partial,69,True
CDRE,2022-05-31,2022-10-28,23.75022919564711,28.5,119,565.22,560.67,4.55,20.0,take_profit_TP1_partial,150,True
DKNG,2022-10-31,2022-11-04,16.329999923706055,11.43,183,-896.7,-899.89,3.19,-30.01,hard_stop,4,False
TMDX,2022-10-31,2022-11-07,49.119998931884766,58.94,88,864.16,857.72,6.44,19.99,take_profit_TP1_partial,7,True
AFRM,2023-01-31,2023-02-02,15.970000267028809,19.16,174,555.06,550.57,4.49,19.97,take_profit_TP1_partial,2,True
TMDX,2022-11-30,2023-02-23,62.45000076293945,74.94,106,1323.94,1314.61,9.33,20.0,take_profit_TP1_partial,85,True
TMDX,2023-02-28,2023-04-14,79.51000213623047,67.58,82,-978.26,-985.07,6.81,-15.0,hard_stop,45,False
AFRM,2023-03-31,2023-05-17,11.199999809265137,13.44,364,815.36,809.23,6.13,20.0,take_profit_TP1_partial,47,True
AFRM,2023-05-31,2023-06-07,14.725000381469727,17.67,251,739.19,733.54,5.65,20.0,take_profit_TP1_partial,7,True
AFRM,2023-07-31,2023-08-11,19.049999237060547,14.720000267028809,220,-952.6,-956.99,4.39,-22.73,hard_stop,11,False
TMDX,2023-11-30,2024-01-23,74.3499984741211,89.22,99,1472.13,1461.87,10.26,20.0,take_profit_TP1_partial,54,True
TMDX,2024-01-31,2024-02-26,85.44999694824219,72.63,79,-1012.78,-1019.79,7.01,-15.0,hard_stop,26,False
TMDX,2024-11-29,2024-12-03,87.0199966430664,73.23,79,-1089.41,-1096.47,7.06,-15.85,hard_stop,4,False
